time_s,ecg_mv
0.00000,-0.00746
0.00400,0.02537
0.00800,0.04972
0.01200,0.00338
0.01600,0.06209
0.02000,0.04121
0.02400,0.02744
0.02800,0.03722
0.03200,0.04400
0.03600,0.03369
0.04000,0.05447
0.04400,0.01860
0.04800,0.02382
0.05200,0.05322
0.05600,0.03320
0.06000,0.01533
0.06400,0.05214
0.06800,0.06279
0.07200,0.02486
0.07600,0.00643
0.08000,0.03161
0.08400,0.03159
0.08800,0.02888
0.09200,0.06321
0.09600,0.01484
0.10000,0.06086
0.10400,0.01055
0.10800,0.02045
0.11200,0.04909
0.11600,0.05929
0.12000,0.05417
0.12400,0.04416
0.12800,0.04036
0.13200,0.04083
0.13600,0.04955
0.14000,0.03478
0.14400,0.04412
0.14800,0.05028
0.15200,0.03910
0.15600,0.05463
0.16000,0.05092
0.16400,0.08008
0.16800,0.04662
0.17200,0.03183
0.17600,0.03318
0.18000,0.04063
0.18400,0.05962
0.18800,0.03466
0.19200,0.04937
0.19600,0.07865
0.20000,-0.00914
0.20400,0.01992
0.20800,0.04753
0.21200,0.05087
0.21600,0.04792
0.22000,0.03477
0.22400,0.05674
0.22800,0.04953
0.23200,0.03369
0.23600,0.09297
0.24000,0.05172
0.24400,0.03377
0.24800,0.04311
0.25200,0.04083
0.25600,0.04432
0.26000,-0.00875
0.26400,0.03631
0.26800,0.06646
0.27200,0.02315
0.27600,0.04542
0.28000,0.06606
0.28400,0.06435
0.28800,0.07728
0.29200,0.01366
0.29600,0.04086
0.30000,0.04136
0.30400,0.06090
0.30800,0.07054
0.31200,-0.00463
0.31600,0.07117
0.32000,0.02091
0.32400,0.06414
0.32800,0.02145
0.33200,0.05592
0.33600,0.07782
0.34000,0.05299
0.34400,0.06254
0.34800,0.07824
0.35200,0.06967
0.35600,0.07071
0.36000,0.10991
0.36400,0.10808
0.36800,0.09006
0.37200,0.16039
0.37600,0.09242
0.38000,0.14339
0.38400,0.12886
0.38800,0.14466
0.39200,0.16221
0.39600,0.15648
0.40000,0.16628
0.40400,0.12189
0.40800,0.11872
0.41200,0.15552
0.41600,0.11652
0.42000,0.10657
0.42400,0.08836
0.42800,0.13362
0.43200,0.11408
0.43600,0.12018
0.44000,0.06450
