x,y
0,0.48762258
1,0.57853558
2,0.45162565
3,0.66750661
4,0.64000261
5,0.42987372
6,0.40779019
7,0.27959030
8,0.51421099
9,0.44654944
10,0.32405854
11,0.35903014
12,0.31957910
13,0.54071549
14,0.58701063
15,0.29153460
16,0.69347997
17,0.40595305
18,0.38578003
19,0.40851411
20,0.47944141
21,0.35025741
22,0.58062604
23,0.32557030
24,0.36668370
25,0.71673182
26,0.93204657
27,0.47143947
28,0.57752513
29,0.41269795
30,0.80031898
31,0.75258728
32,0.52083825
33,0.55106397
34,0.74368336
35,0.50334031
36,0.60337294
37,0.68870122
38,0.42717972
39,0.36116961
40,0.21974013
41,0.51076140
42,0.80587032
43,0.86746537
44,0.77723528
45,0.66069812
46,0.74279367
47,0.83877371
48,0.72020024
49,0.79432261
50,0.96840799
51,0.95019161
52,0.64940466
53,0.86470815
54,1.04889187
55,0.68443640
56,0.99677782
57,0.65622330
58,1.16101177
59,0.83229064
60,0.84079521
61,1.02588729
62,1.15021227
63,1.07527084
64,1.14808649
65,1.38678349
66,1.03530116
67,0.90458119
68,1.27492162
69,1.20406453
70,1.38226955
71,1.51463980
72,1.53466029
73,1.49572291
74,1.55829980
75,1.70016235
76,1.45942805
77,1.67799914
78,1.72530864
79,1.89956327
80,1.96013476
81,1.84829701
82,2.00133541
83,1.84629747
84,2.10420644
85,2.48881221
86,2.17251937
87,2.62971022
88,2.44956942
89,2.68231595
90,2.60209412
91,2.53865795
92,2.81069957
93,3.13817041
94,2.97871081
95,2.70114820
96,3.15907452
97,3.32396060
98,3.46516673
99,3.58541452
100,3.36398823
101,3.33066307
102,3.60111869
103,3.49907788
104,3.58741918
105,3.67891640
106,3.88065400
107,3.90841206
108,4.08805571
109,3.93178560
110,4.11633316
111,4.05174523
112,3.97164527
113,3.93525012
114,4.15515604
115,4.38134633
116,4.19061455
117,4.35092309
118,4.46415455
119,4.44363503
120,4.62024958
121,4.66621464
122,4.46589131
123,4.56347924
124,4.62856161
125,4.44517133
126,4.73414479
127,4.71204212
128,4.49060639
129,4.61080129
130,4.74498433
131,4.78944610
132,4.70444699
133,4.81134196
134,4.30266188
135,4.40305060
136,4.35608462
137,4.25561318
138,4.60868525
139,4.11821710
140,4.31822788
141,4.34397274
142,4.51986611
143,4.20444588
144,4.41457206
145,4.34448008
146,4.19775457
147,3.93237865
148,4.05211392
149,4.32944709
150,4.17776820
151,3.86540398
152,3.62393905
153,3.53070098
154,3.60766854
155,3.37539912
156,3.56696938
157,3.40093905
158,3.25173175
159,3.21309173
160,3.16787832
161,3.04689325
162,3.09337830
163,2.91548538
164,3.14361294
165,2.74310131
166,2.67278540
167,2.62238351
168,2.66915986
169,2.63856346
170,2.37839798
171,2.32971078
172,2.48364984
173,1.89949865
174,2.36592263
175,2.21198707
176,2.05307387
177,1.90331552
178,2.18421058
179,1.69169105
180,1.82182635
181,1.91610019
182,1.70833155
183,1.63738394
184,1.47122659
185,1.63369128
186,1.61557185
187,1.55497275
188,1.45972316
189,1.30074494
190,1.47067226
191,1.31976154
192,1.39447296
193,0.92407004
194,0.95026205
195,1.25903052
196,1.24637220
197,1.12212854
198,1.24307404
199,0.89266329
200,1.50844956
201,1.09657695
202,1.05710432
203,1.13015362
204,0.84952286
205,0.94096492
206,0.89806185
207,0.89541079
208,0.97586883
209,0.75433258
210,0.91225031
211,0.89170944
212,0.84171393
213,0.63810441
214,0.90983652
215,0.70306894
216,0.70151550
217,0.83312472
218,0.77082877
219,1.10591513
220,0.74049698
221,0.67618175
222,0.87854990
223,0.98195959
224,0.79213688
225,0.67920869
226,0.82863504
227,1.00251809
228,0.73564010
229,0.90125865
230,0.96950612
231,1.02842786
232,0.70007424
233,1.09393144
234,0.48704511
235,0.65169564
236,0.52758958
237,0.68479871
238,0.70246697
239,0.75381991
240,0.83788108
241,0.73059214
242,0.78730354
243,0.82267550
244,0.71406134
245,0.83401561
246,0.79827571
247,0.94382113
248,0.71076173
249,0.62609646
250,0.84889869
251,0.82687641
252,0.58395404
253,0.76152011
254,1.14678056
255,0.61314330
